Country,incomeLevel,GDP per capita (current US$),School enrollment secondary female (% gross),School enrollment secondary male (% gross),Continent,Gini Index,Life Expectancy,Internet Usage %,Female Labor Force %,Political_Orientation
Morocco,LMC,3463.1376953125,83.2706329144956,85.58648541247,Africa,39.5,75.161,89.9,19.584,Right
Netherlands,HIC,59123.318556487,140.989440917969,136.65364074707,Europe,26.0,81.6146341463415,92.5197,62.443,Right
New Zealand,HIC,49099.7090423358,117.863876342773,111.852607727051,Oceania,33.9,81.9585365853658,96.1942,66.374,Left
Nigeria,LMC,2899.16047470324,47.4061508178711,46.3985900878906,Africa,33.9,54.079,37.6975,77.06,Left
North Macedonia,UMC,7606.2375253797,91.6712875366211,91.2447662353516,Europe,33.5,74.4248780487805,85.008,42.206,Left
Norway,HIC,109269.520580298,117.932258605957,120.875968933105,Europe,26.9,82.509756097561,99.0,61.596,Left
Pakistan,LMC,1538.3228133171,37.4490104990348,43.2300081077434,Asia,29.6,67.417,24.2103,24.15,Right
Peru,UMC,7350.63034300417,103.652191162109,103.532569885254,South America,40.3,76.834,74.675,66.725,Left
Philippines,LMC,3548.06930572116,93.8565182415521,90.7663228572526,Asia,39.3,69.472,75.2111,50.38,Right
Poland,HIC,18891.2121169279,107.567939758301,109.351013183594,Europe,28.9,77.1560975609756,86.9411,51.167,Right
Portugal,HIC,24620.5197587181,121.729446411133,120.1552734375,Europe,36.3,81.6317073170732,84.4969,54.171,Left
Qatar,HIC,88701.4689763536,103.828099708644,102.176538111779,Asia,35.3,81.857,99.6528,63.54,Right
Romania,HIC,15503.551804598,83.2872314453125,82.7934036254883,Europe,32.3,75.1536585365854,85.5031,43.167,Right
Russian Federation,HIC,15619.6142578125,91.9435067815037,93.5573994891212,Europe,33.9,72.5456097560976,90.418,55.3,Right
Saudi Arabia,HIC,38510.2276211037,120.79801594321,123.491765575734,Asia,45.9,77.31,100.0,34.099,Right
Serbia,UMC,10024.8191112596,92.8318710327148,91.1256866455078,Europe,32.8,75.2365853658537,83.5383,50.566,Right
Singapore,HIC,90299.0694637269,102.73547410258,103.27297375811,Asia,40.0,82.8951219512195,95.9539,62.921,Right
Slovak Republic,HIC,21317.7943982363,92.8732299804688,91.5666732788086,Europe,24.1,76.9658536585366,89.0677,55.692,Right
Slovenia,HIC,28360.3041467268,108.789093017578,107.011238098145,Europe,24.3,81.2829268292683,88.9125,53.875,Center
South Africa,UMC,6534.24867783397,108.68396751263,100.436643614077,Africa,63.0,65.454,75.4556,50.865,Left
Spain,HIC,30319.4987196616,121.720291137695,116.484161376953,Europe,33.6,83.1341463414634,94.4855,52.567,Left
Sri Lanka,LMC,3342.63650253855,90.6491955714904,85.790396351176,Asia,37.7,77.3,48.3,31.604,Right
Sweden,HIC,54836.8907235124,148.988021850586,130.388244628906,Europe,31.6,83.0585365853659,95.0097,61.217,Right
Switzerland,HIC,94394.5106803525,101.519386291504,105.161247253418,Europe,33.8,83.6048780487805,96.4528,61.495,Right
Thailand,UMC,6909.35281815827,94.929673800743,81.4907422932092,Asia,34.3,75.291,87.9772,59.576,Right
Tunisia,LMC,3707.29283414381,96.40,86.30,Africa,32.8,76.05,70.5532,27.519,Center
